{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.11.1', 'IMP_VERSION': '2.11.1'}", 'STAT2HEADER_ENVIRON': "{'CPPFLAGS': '-D_FORTIFY_SOURCE=2 -mmacosx-version-min=10.9', 'CONDA_PYTHON_EXE': '/Users/saltzberg/swr/anaconda3/bin/python', 'REDO_PREBINDING': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-redo_prebinding', '_CONDA_PYTHON_SYSCONFIGDATA_NAME': '_sysconfigdata_x86_64_apple_darwin13_4_0', 'SEG_HACK': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-seg_hack', 'CLANG': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-clang', 'LC_TERMINAL_VERSION': '3.3.7beta4', '_CE_CONDA': '', 'TERM_PROGRAM_VERSION': '3.3.7beta4', 'LD': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-ld', 'CXXFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe -stdlib=libc++ -fvisibility-inlines-hidden -std=c++14 -fmessage-length=0', 'COLORTERM': 'truecolor', 'LOGNAME': 'saltzberg', 'USER': 'saltzberg', 'XPC_SERVICE_NAME': '0', 'HOME': '/Users/saltzberg', 'PATH': '/Users/saltzberg/swr/anaconda3/bin:/Users/saltzberg/swr/anaconda3/condabin:/usr/local/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Library/TeX/texbin:/usr/local/MacGPG2/bin:/opt/X11/bin:/Applications/ATSAS/bin', 'CONDA_DEFAULT_ENV': 'base', 'DISPLAY': '/private/tmp/com.apple.launchd.dUjEFv0Ugp/org.macosforge.xquartz:0', 'INSTALL_NAME_TOOL': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-install_name_tool', 'OTOOL': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-otool', 'LC_TERMINAL': 'iTerm2', 'TERM': 'xterm-256color', 'Apple_PubSub_Socket_Render': '/private/tmp/com.apple.launchd.Zp4iEB9E2j/Render', 'COLORFGBG': '7;0', 'NM': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-nm', 'VERSIONER_PYTHON_VERSION': '2.7', 'SHLVL': '1', 'VERSIONER_PYTHON_PREFER_32_BIT': 'no', 'CONDA_PREFIX': '/Users/saltzberg/swr/anaconda3', 'XPC_FLAGS': '0x0', 'ITERM_SESSION_ID': 'w0t1p0:05A05974-D6B9-4470-8A03-B43555B2CE0C', '_': '/usr/bin/python', 'LDFLAGS': '-Wl,-pie -Wl,-headerpad_max_install_names -Wl,-dead_strip_dylibs', 'STRIP': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-strip', 'CONDA_BACKUP_HOST': 'x86_64-apple-darwin13.4.0', 'TERM_PROGRAM': 'iTerm.app', 'LDFLAGS_LD': '-pie -headerpad_max_install_names -dead_strip_dylibs', 'DEBUG_CXXFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe -stdlib=libc++ -fvisibility-inlines-hidden -std=c++14 -fmessage-length=0 -Og -g -Wall -Wextra', 'LANG': 'en_US.UTF-8', 'TERM_SESSION_ID': 'w0t1p0:05A05974-D6B9-4470-8A03-B43555B2CE0C', 'CODESIGN_ALLOCATE': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-codesign_allocate', 'DEBUG_CFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe -Og -g -Wall -Wextra', 'CHECKSYMS': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-checksyms', 'CC': 'x86_64-apple-darwin13.4.0-clang', 'SSH_AUTH_SOCK': '/private/tmp/com.apple.launchd.MeWd4ESXdE/Listeners', 'NMEDIT': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-nmedit', 'LIPO': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-lipo', 'CONDA_PROMPT_MODIFIER': '(base) ', 'HOST': 'x86_64-apple-darwin13.4.0', 'SHELL': '/bin/bash', 'CLANGXX': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-clang++', '_CE_M': '', 'ITERM_PROFILE': 'Default', 'CONDA_SHLVL': '1', 'RANLIB': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-ranlib', 'STRINGS': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-strings', 'TMPDIR': '/var/folders/bh/nj3733v51bs4hbwhf0jd_lrr0000gn/T/', 'SIZE': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-size', 'PAGESTUFF': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-pagestuff', 'SEG_ADDR_TABLE': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-seg_addr_table', 'INDR': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-indr', 'CXX': 'x86_64-apple-darwin13.4.0-clang++', 'CONDA_BUILD_SYSROOT': '/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX10.13.sdk', 'OLDPWD': '/Users/saltzberg/salilab/repositories/actin_tutorial', 'AS': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-as', '__CF_USER_TEXT_ENCODING': '0x1F5:0x0:0x0', 'PWD': '/Users/saltzberg/salilab/repositories/actin_tutorial/modeling', 'AR': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-ar', 'LIBTOOL': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-libtool', 'CFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe', 'SEGEDIT': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-segedit', 'CONDA_EXE': '/Users/saltzberg/swr/anaconda3/bin/conda'}"} 
{0: '0', 1: '1.0', 2: 5526.822640051731, 3: '0', 4: '0'} 
{0: '0.0', 1: '1.0', 2: 2355.8944346224694, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 1424.3928626216743, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 1141.426370629795, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 914.9184833767974, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 804.0234578399568, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 718.8942576456675, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 655.3658112575716, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 648.9910471129576, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 643.1870333070442, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 634.4935367264732, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 624.4703489747535, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 581.8931523579304, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 586.077832639938, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 572.9129033378379, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 568.8102331398243, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 553.3679340777966, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 552.3956094575974, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 548.6995838494299, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 544.4644519686606, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 539.1270305207263, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 536.6506207717817, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 520.3605262700128, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 517.2203039190446, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 520.5490115209037, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 517.6771334930979, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 516.2800688623521, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 516.551438375027, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 514.756326310328, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 512.7056859921124, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 507.42884938552993, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 508.9383899431137, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 509.5760960928631, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 514.0788614768542, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 505.26019700803425, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 498.7148300591588, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 495.08073962683216, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 495.8901956000521, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 485.3101010554578, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 483.22405145805374, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 485.46266922243353, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 486.07861926762763, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 479.04135684456423, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 477.9085162314906, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 476.17116467696223, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 476.84271888182445, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 471.8502327746818, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 470.00082886093816, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 473.02716569830125, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 465.41432065538453, 3: '0.0', 4: '1.0'} 
