{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.11.1', 'IMP_VERSION': '2.11.1'}", 'STAT2HEADER_ENVIRON': "{'CPPFLAGS': '-D_FORTIFY_SOURCE=2 -mmacosx-version-min=10.9', 'CONDA_PYTHON_EXE': '/Users/saltzberg/swr/anaconda3/bin/python', 'REDO_PREBINDING': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-redo_prebinding', '_CONDA_PYTHON_SYSCONFIGDATA_NAME': '_sysconfigdata_x86_64_apple_darwin13_4_0', 'SEG_HACK': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-seg_hack', 'CLANG': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-clang', 'LC_TERMINAL_VERSION': '3.3.7beta4', '_CE_CONDA': '', 'TERM_PROGRAM_VERSION': '3.3.7beta4', 'LD': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-ld', 'CXXFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe -stdlib=libc++ -fvisibility-inlines-hidden -std=c++14 -fmessage-length=0', 'COLORTERM': 'truecolor', 'LOGNAME': 'saltzberg', 'USER': 'saltzberg', 'XPC_SERVICE_NAME': '0', 'HOME': '/Users/saltzberg', 'PATH': '/Users/saltzberg/swr/anaconda3/bin:/Users/saltzberg/swr/anaconda3/condabin:/usr/local/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Library/TeX/texbin:/usr/local/MacGPG2/bin:/opt/X11/bin:/Applications/ATSAS/bin', 'CONDA_DEFAULT_ENV': 'base', 'DISPLAY': '/private/tmp/com.apple.launchd.dUjEFv0Ugp/org.macosforge.xquartz:0', 'INSTALL_NAME_TOOL': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-install_name_tool', 'OTOOL': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-otool', 'LC_TERMINAL': 'iTerm2', 'TERM': 'xterm-256color', 'Apple_PubSub_Socket_Render': '/private/tmp/com.apple.launchd.Zp4iEB9E2j/Render', 'COLORFGBG': '7;0', 'NM': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-nm', 'VERSIONER_PYTHON_VERSION': '2.7', 'SHLVL': '1', 'VERSIONER_PYTHON_PREFER_32_BIT': 'no', 'CONDA_PREFIX': '/Users/saltzberg/swr/anaconda3', 'XPC_FLAGS': '0x0', 'ITERM_SESSION_ID': 'w0t1p0:05A05974-D6B9-4470-8A03-B43555B2CE0C', '_': '/usr/bin/python', 'LDFLAGS': '-Wl,-pie -Wl,-headerpad_max_install_names -Wl,-dead_strip_dylibs', 'STRIP': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-strip', 'CONDA_BACKUP_HOST': 'x86_64-apple-darwin13.4.0', 'TERM_PROGRAM': 'iTerm.app', 'LDFLAGS_LD': '-pie -headerpad_max_install_names -dead_strip_dylibs', 'DEBUG_CXXFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe -stdlib=libc++ -fvisibility-inlines-hidden -std=c++14 -fmessage-length=0 -Og -g -Wall -Wextra', 'LANG': 'en_US.UTF-8', 'TERM_SESSION_ID': 'w0t1p0:05A05974-D6B9-4470-8A03-B43555B2CE0C', 'CODESIGN_ALLOCATE': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-codesign_allocate', 'DEBUG_CFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe -Og -g -Wall -Wextra', 'CHECKSYMS': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-checksyms', 'CC': 'x86_64-apple-darwin13.4.0-clang', 'SSH_AUTH_SOCK': '/private/tmp/com.apple.launchd.MeWd4ESXdE/Listeners', 'NMEDIT': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-nmedit', 'LIPO': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-lipo', 'CONDA_PROMPT_MODIFIER': '(base) ', 'HOST': 'x86_64-apple-darwin13.4.0', 'SHELL': '/bin/bash', 'CLANGXX': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-clang++', '_CE_M': '', 'ITERM_PROFILE': 'Default', 'CONDA_SHLVL': '1', 'RANLIB': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-ranlib', 'STRINGS': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-strings', 'TMPDIR': '/var/folders/bh/nj3733v51bs4hbwhf0jd_lrr0000gn/T/', 'SIZE': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-size', 'PAGESTUFF': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-pagestuff', 'SEG_ADDR_TABLE': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-seg_addr_table', 'INDR': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-indr', 'CXX': 'x86_64-apple-darwin13.4.0-clang++', 'CONDA_BUILD_SYSROOT': '/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX10.13.sdk', 'OLDPWD': '/Users/saltzberg/salilab/repositories/actin_tutorial', 'AS': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-as', '__CF_USER_TEXT_ENCODING': '0x1F5:0x0:0x0', 'PWD': '/Users/saltzberg/salilab/repositories/actin_tutorial/modeling', 'AR': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-ar', 'LIBTOOL': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-libtool', 'CFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe', 'SEGEDIT': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-segedit', 'CONDA_EXE': '/Users/saltzberg/swr/anaconda3/bin/conda'}"} 
{0: '0', 1: '1.0', 2: 9738.860997337939, 3: '0', 4: '0'} 
{0: '0.0', 1: '1.0', 2: 4834.853948715249, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 2829.301886596648, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 1587.8492148373289, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 1066.7445203852446, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 800.8997549784953, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 716.5449707246134, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 640.4885665830711, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 608.8228732592341, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 568.8647349535378, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 539.9856225259038, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 526.8060395258445, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 517.1973914544373, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 512.0125615593587, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 505.65123667359813, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 494.66546342306003, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 482.00382885662066, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 477.13351851374296, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 468.4684790988744, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 457.1847204377549, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 454.0303973987044, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 448.62908635571284, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 441.9948658518568, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 440.37426129470776, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 431.1313547684042, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 430.33194210094604, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 426.0944109633609, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 422.90708667668827, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 427.69089775896146, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 429.04613119066545, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 430.1078357660449, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 425.79454009022794, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 429.16385178692764, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 432.3339676576681, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 426.80774761160166, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 428.5647685107426, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 427.3381944867096, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 423.2887461313993, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 427.225158508596, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 433.3327743364382, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 435.75996426320444, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 439.88059056434713, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 443.1019773709393, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 442.28403568786797, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 448.975108785107, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 453.121452143071, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 436.76546782895576, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 435.7695401006587, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 433.8255646858757, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 431.45538016906704, 3: '0.0', 4: '1.0'} 
