{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.11.1', 'IMP_VERSION': '2.11.1'}", 'STAT2HEADER_ENVIRON': "{'CPPFLAGS': '-D_FORTIFY_SOURCE=2 -mmacosx-version-min=10.9', 'CONDA_PYTHON_EXE': '/Users/saltzberg/swr/anaconda3/bin/python', 'REDO_PREBINDING': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-redo_prebinding', '_CONDA_PYTHON_SYSCONFIGDATA_NAME': '_sysconfigdata_x86_64_apple_darwin13_4_0', 'SEG_HACK': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-seg_hack', 'CLANG': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-clang', 'LC_TERMINAL_VERSION': '3.3.7beta4', '_CE_CONDA': '', 'TERM_PROGRAM_VERSION': '3.3.7beta4', 'LD': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-ld', 'CXXFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe -stdlib=libc++ -fvisibility-inlines-hidden -std=c++14 -fmessage-length=0', 'COLORTERM': 'truecolor', 'LOGNAME': 'saltzberg', 'USER': 'saltzberg', 'XPC_SERVICE_NAME': '0', 'HOME': '/Users/saltzberg', 'PATH': '/Users/saltzberg/swr/anaconda3/bin:/Users/saltzberg/swr/anaconda3/condabin:/usr/local/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Library/TeX/texbin:/usr/local/MacGPG2/bin:/opt/X11/bin:/Applications/ATSAS/bin', 'CONDA_DEFAULT_ENV': 'base', 'DISPLAY': '/private/tmp/com.apple.launchd.dUjEFv0Ugp/org.macosforge.xquartz:0', 'INSTALL_NAME_TOOL': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-install_name_tool', 'OTOOL': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-otool', 'LC_TERMINAL': 'iTerm2', 'TERM': 'xterm-256color', 'Apple_PubSub_Socket_Render': '/private/tmp/com.apple.launchd.Zp4iEB9E2j/Render', 'COLORFGBG': '7;0', 'NM': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-nm', 'VERSIONER_PYTHON_VERSION': '2.7', 'SHLVL': '1', 'VERSIONER_PYTHON_PREFER_32_BIT': 'no', 'CONDA_PREFIX': '/Users/saltzberg/swr/anaconda3', 'XPC_FLAGS': '0x0', 'ITERM_SESSION_ID': 'w0t1p0:05A05974-D6B9-4470-8A03-B43555B2CE0C', '_': '/usr/bin/python', 'LDFLAGS': '-Wl,-pie -Wl,-headerpad_max_install_names -Wl,-dead_strip_dylibs', 'STRIP': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-strip', 'CONDA_BACKUP_HOST': 'x86_64-apple-darwin13.4.0', 'TERM_PROGRAM': 'iTerm.app', 'LDFLAGS_LD': '-pie -headerpad_max_install_names -dead_strip_dylibs', 'DEBUG_CXXFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe -stdlib=libc++ -fvisibility-inlines-hidden -std=c++14 -fmessage-length=0 -Og -g -Wall -Wextra', 'LANG': 'en_US.UTF-8', 'TERM_SESSION_ID': 'w0t1p0:05A05974-D6B9-4470-8A03-B43555B2CE0C', 'CODESIGN_ALLOCATE': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-codesign_allocate', 'DEBUG_CFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe -Og -g -Wall -Wextra', 'CHECKSYMS': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-checksyms', 'CC': 'x86_64-apple-darwin13.4.0-clang', 'SSH_AUTH_SOCK': '/private/tmp/com.apple.launchd.MeWd4ESXdE/Listeners', 'NMEDIT': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-nmedit', 'LIPO': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-lipo', 'CONDA_PROMPT_MODIFIER': '(base) ', 'HOST': 'x86_64-apple-darwin13.4.0', 'SHELL': '/bin/bash', 'CLANGXX': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-clang++', '_CE_M': '', 'ITERM_PROFILE': 'Default', 'CONDA_SHLVL': '1', 'RANLIB': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-ranlib', 'STRINGS': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-strings', 'TMPDIR': '/var/folders/bh/nj3733v51bs4hbwhf0jd_lrr0000gn/T/', 'SIZE': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-size', 'PAGESTUFF': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-pagestuff', 'SEG_ADDR_TABLE': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-seg_addr_table', 'INDR': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-indr', 'CXX': 'x86_64-apple-darwin13.4.0-clang++', 'CONDA_BUILD_SYSROOT': '/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX10.13.sdk', 'OLDPWD': '/Users/saltzberg/salilab/repositories/actin_tutorial', 'AS': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-as', '__CF_USER_TEXT_ENCODING': '0x1F5:0x0:0x0', 'PWD': '/Users/saltzberg/salilab/repositories/actin_tutorial/modeling', 'AR': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-ar', 'LIBTOOL': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-libtool', 'CFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe', 'SEGEDIT': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-segedit', 'CONDA_EXE': '/Users/saltzberg/swr/anaconda3/bin/conda'}"} 
{0: '0', 1: '1.0', 2: 431.2957416386273, 3: '0', 4: '0'} 
{0: '0.0', 1: '1.0', 2: 438.23101792458283, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 435.9197237892464, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 434.43995252799806, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 439.13182117999105, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 435.8360429959987, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 440.3896238081488, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 441.4531333106692, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 436.5845202497246, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 432.8078380316014, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 430.72821187244267, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 436.8655264197681, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 438.2178638322746, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 433.39753711135575, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 441.9271009540201, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 437.3483804136972, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 439.7687768735821, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 430.2769282523335, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 426.36814502573986, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 425.5943036649706, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 431.06240206618105, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 433.2919774592034, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 436.67485714243713, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 429.11517147281677, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 427.66369976471924, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 430.2810399832942, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 433.01389065545385, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 433.82758391551954, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 436.2583649635754, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 436.02858298962076, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 443.07276446845384, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 440.2377459740444, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 440.8246596427332, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 429.8850066282267, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 435.08616825975344, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 433.2529516582783, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 431.7222149019089, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 428.72168686280264, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 425.34145579482043, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 428.49317476426506, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 429.63740094252273, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 434.31542030458434, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 431.77946581223915, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 437.2812310190528, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 439.99662568088246, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 429.56578293092394, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 431.20776480942334, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 430.4305552022869, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 429.0719547912464, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 421.5223835774003, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 427.441548252342, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 423.5405144490339, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 427.2963342626484, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 427.5764526821953, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 424.99636355700693, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 431.46040842717633, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 426.1369502185415, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 429.2504142437962, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 426.573887030188, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 429.5530301277404, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 440.60971807905474, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 446.6275323167424, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 449.7840996664715, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 445.0837241250586, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 428.75677962911647, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 428.82440081791657, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 423.73173084672516, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 438.7924015520565, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 426.2449110968851, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 428.7208853790502, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 430.72487912215024, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 427.3172110789162, 3: '0.0', 4: '1.0'} 
