{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.11.1', 'IMP_VERSION': '2.11.1'}", 'STAT2HEADER_ENVIRON': "{'CPPFLAGS': '-D_FORTIFY_SOURCE=2 -mmacosx-version-min=10.9', 'CONDA_PYTHON_EXE': '/Users/saltzberg/swr/anaconda3/bin/python', 'REDO_PREBINDING': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-redo_prebinding', '_CONDA_PYTHON_SYSCONFIGDATA_NAME': '_sysconfigdata_x86_64_apple_darwin13_4_0', 'SEG_HACK': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-seg_hack', 'CLANG': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-clang', 'LC_TERMINAL_VERSION': '3.3.7beta4', '_CE_CONDA': '', 'TERM_PROGRAM_VERSION': '3.3.7beta4', 'LD': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-ld', 'CXXFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe -stdlib=libc++ -fvisibility-inlines-hidden -std=c++14 -fmessage-length=0', 'COLORTERM': 'truecolor', 'LOGNAME': 'saltzberg', 'USER': 'saltzberg', 'XPC_SERVICE_NAME': '0', 'HOME': '/Users/saltzberg', 'PATH': '/Users/saltzberg/swr/anaconda3/bin:/Users/saltzberg/swr/anaconda3/condabin:/usr/local/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Library/TeX/texbin:/usr/local/MacGPG2/bin:/opt/X11/bin:/Applications/ATSAS/bin', 'CONDA_DEFAULT_ENV': 'base', 'DISPLAY': '/private/tmp/com.apple.launchd.dUjEFv0Ugp/org.macosforge.xquartz:0', 'INSTALL_NAME_TOOL': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-install_name_tool', 'OTOOL': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-otool', 'LC_TERMINAL': 'iTerm2', 'TERM': 'xterm-256color', 'Apple_PubSub_Socket_Render': '/private/tmp/com.apple.launchd.Zp4iEB9E2j/Render', 'COLORFGBG': '7;0', 'NM': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-nm', 'VERSIONER_PYTHON_VERSION': '2.7', 'SHLVL': '1', 'VERSIONER_PYTHON_PREFER_32_BIT': 'no', 'CONDA_PREFIX': '/Users/saltzberg/swr/anaconda3', 'XPC_FLAGS': '0x0', 'ITERM_SESSION_ID': 'w0t1p0:05A05974-D6B9-4470-8A03-B43555B2CE0C', '_': '/usr/bin/python', 'LDFLAGS': '-Wl,-pie -Wl,-headerpad_max_install_names -Wl,-dead_strip_dylibs', 'STRIP': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-strip', 'CONDA_BACKUP_HOST': 'x86_64-apple-darwin13.4.0', 'TERM_PROGRAM': 'iTerm.app', 'LDFLAGS_LD': '-pie -headerpad_max_install_names -dead_strip_dylibs', 'DEBUG_CXXFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe -stdlib=libc++ -fvisibility-inlines-hidden -std=c++14 -fmessage-length=0 -Og -g -Wall -Wextra', 'LANG': 'en_US.UTF-8', 'TERM_SESSION_ID': 'w0t1p0:05A05974-D6B9-4470-8A03-B43555B2CE0C', 'CODESIGN_ALLOCATE': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-codesign_allocate', 'DEBUG_CFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe -Og -g -Wall -Wextra', 'CHECKSYMS': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-checksyms', 'CC': 'x86_64-apple-darwin13.4.0-clang', 'SSH_AUTH_SOCK': '/private/tmp/com.apple.launchd.MeWd4ESXdE/Listeners', 'NMEDIT': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-nmedit', 'LIPO': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-lipo', 'CONDA_PROMPT_MODIFIER': '(base) ', 'HOST': 'x86_64-apple-darwin13.4.0', 'SHELL': '/bin/bash', 'CLANGXX': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-clang++', '_CE_M': '', 'ITERM_PROFILE': 'Default', 'CONDA_SHLVL': '1', 'RANLIB': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-ranlib', 'STRINGS': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-strings', 'TMPDIR': '/var/folders/bh/nj3733v51bs4hbwhf0jd_lrr0000gn/T/', 'SIZE': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-size', 'PAGESTUFF': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-pagestuff', 'SEG_ADDR_TABLE': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-seg_addr_table', 'INDR': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-indr', 'CXX': 'x86_64-apple-darwin13.4.0-clang++', 'CONDA_BUILD_SYSROOT': '/Applications/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX10.13.sdk', 'OLDPWD': '/Users/saltzberg/salilab/repositories/actin_tutorial', 'AS': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-as', '__CF_USER_TEXT_ENCODING': '0x1F5:0x0:0x0', 'PWD': '/Users/saltzberg/salilab/repositories/actin_tutorial/modeling', 'AR': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-ar', 'LIBTOOL': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-libtool', 'CFLAGS': '-march=core2 -mtune=haswell -mssse3 -ftree-vectorize -fPIC -fPIE -fstack-protector-strong -O2 -pipe', 'SEGEDIT': '/Users/saltzberg/swr/anaconda3/bin/x86_64-apple-darwin13.4.0-segedit', 'CONDA_EXE': '/Users/saltzberg/swr/anaconda3/bin/conda'}"} 
{0: '0', 1: '1.0', 2: 461.5919808055053, 3: '0', 4: '0'} 
{0: '0.0', 1: '1.0', 2: 458.92454134922883, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 459.7651426753071, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 469.04124798290303, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 470.5717825492418, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 468.33980961281577, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 460.9583487903477, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 461.0079910191462, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 461.59643157916827, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 458.5232405565347, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 457.6276378793602, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 452.22477011477093, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 448.79909592689074, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 453.14345634179244, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 456.60846838978375, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 459.66611145183856, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 459.94252502314316, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 457.5388614449889, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 457.8739490696987, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 454.18930734597564, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 456.06117482023035, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 450.12444356354445, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 449.3752972535457, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 443.55292902266785, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 448.7448672239234, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 449.7144418730232, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 458.6058282609606, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 460.0388578872834, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 451.19444789769034, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 447.78412289459885, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 442.87316910090374, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 439.5031521304751, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 442.2197496163442, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 441.05551039003467, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 442.4572464009233, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 446.7504498223255, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 449.687023450173, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 450.72409278478705, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 454.2701976535491, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 455.5400680704584, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 446.66092645822545, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 448.14189835007767, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 448.39048254321654, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 445.05027944426104, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 442.95196910302695, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 442.53346108539245, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 443.81573090027337, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 446.0778904479634, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 446.03089050219194, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 445.6590628058087, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 452.9917252122218, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 449.7308113052659, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 450.46710887603615, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 453.4874665084318, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 445.8666841624967, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 452.64387166788174, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 449.12956863584054, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 444.6231218981972, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 443.1418903617722, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 438.9281089552576, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 440.1576837298209, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 445.3694223616968, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 446.18118098501816, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 445.66941394996144, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 446.4316892766811, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 447.21453707784366, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 449.8351989579484, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 444.6258931698458, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 440.6742559388791, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 436.55286763414557, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 442.7158926722511, 3: '0.0', 4: '1.0'} 
{0: '0.0', 1: '1.0', 2: 445.4843946509194, 3: '0.0', 4: '1.0'} 
